id,餐廳名稱,餐廳評價,餐廳地址,餐廳連結
1,有飲 Youin 創意飲品 台北公館店,4.1,臺北市中正區汀州路三段221號,https://ifoodie.tw/restaurant/6226c828a62728640af345d4-%E6%9C%89%E9%A3%B2-Youin-%E5%89%B5%E6%84%8F%E9%A3%B2%E5%93%81-%E5%8F%B0%E5%8C%97%E5%85%AC%E9%A4%A8%E5%BA%97
2,藍家割包,3.9,臺北市中正區羅斯福路三段316巷8弄3號,https://ifoodie.tw/restaurant/559d7bc3c03a103ee86c7e94-%E8%97%8D%E5%AE%B6%E5%89%B2%E5%8C%85
3,阿薄郎薄皮餃子台式小酒館-台北二郎公館店 Uncle A-Bo-Lang Taiwan Bistro,4.2,臺北市中正區汀州路三段96號,https://ifoodie.tw/restaurant/62fa4a267cc7fc20fa1be87d-%E9%98%BF%E8%96%84%E9%83%8E%E8%96%84%E7%9A%AE%E9%A4%83%E5%AD%90%E5%8F%B0%E5%BC%8F%E5%B0%8F%E9%85%92%E9%A4%A8-%E5%8F%B0%E5%8C%97%E4%BA%8C%E9%83%8E%E5%85%AC%E9%A4%A8%E5%BA%97
4,旨燕,4.2,臺北市中正區開封街一段90號,https://ifoodie.tw/restaurant/61a2da57a627284780e99d63-%E6%97%A8%E7%87%95
5,素食地瓜球,4.0,臺北市中正區羅斯福路四段108巷8之1號,https://ifoodie.tw/restaurant/5cb81675f524683336995f38-%E7%B4%A0%E9%A3%9F%E5%9C%B0%E7%93%9C%E7%90%83
6,雙月食品社 青島店,4.5,臺北市中正區青島東路6之2號,https://ifoodie.tw/restaurant/55de00d72756dd6eac5c52d3-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E9%9D%92%E5%B3%B6%E5%BA%97
7,楽坡BonBox - 台北站前店 / 樂坡舒肥健康餐盒,4.3,臺北市中正區信陽街26之1號,https://ifoodie.tw/restaurant/62f89a9b873d794b7d0baa01-%E6%A5%BD%E5%9D%A1BonBox-%E5%8F%B0%E5%8C%97%E7%AB%99%E5%89%8D%E5%BA%97-%2F-%E6%A8%82%E5%9D%A1%E8%88%92
8,小木斑馬 Brunch & coffee,4.5, 1樓臺北市中正區羅斯福路二段66巷16號,https://ifoodie.tw/restaurant/62f80028cd995702534a61e8-%E5%B0%8F%E6%9C%A8%E6%96%91%E9%A6%AC-Brunch-%26-coffee
9,海享吃精緻鍋物,4.8,臺北市中正區中華路二段307巷8號,https://ifoodie.tw/restaurant/606e53a1cd995731e299e49f-%E6%B5%B7%E4%BA%AB%E5%90%83%E7%B2%BE%E7%B7%BB%E9%8D%8B%E7%89%A9
10,小螺波 XIAO LUO BO 公館店,4.4,臺北市中正區羅斯福路三段284巷11號一樓,https://ifoodie.tw/restaurant/616786f9a6272874909a1f19-%E5%B0%8F%E8%9E%BA%E6%B3%A2-XIAO-LUO-BO-%E5%85%AC%E9%A4%A8%E5%BA%97
11,黃家香腸,4.5,臺北市中正區泉州街32之3號,https://ifoodie.tw/restaurant/559d6be1c03a103ee86c7459-%E9%BB%83%E5%AE%B6%E9%A6%99%E8%85%B8
12,如意黑糖挫冰,3.9,臺北市中正區中華路二段313巷35號,https://ifoodie.tw/restaurant/62f6607f873d795e60427a28-%E5%A6%82%E6%84%8F%E9%BB%91%E7%B3%96%E6%8C%AB%E5%86%B0
13,Louisa Coffee 路易莎咖啡(忠孝善導寺門市),3.2,臺北市中正區忠孝東路一段148號,https://ifoodie.tw/restaurant/62f617f2baf6d37d4b85ef5e-Louisa-Coffee-%E8%B7%AF%E6%98%93%E8%8E%8E%E5%92%96%E5%95%A1(
14,YumYum 好吃好吃2號店,3.9,臺北市中正區羅斯福路三段316巷16號2樓,https://ifoodie.tw/restaurant/5dd358658c906d1ce32e9354-YumYum-%E5%A5%BD%E5%90%83%E5%A5%BD%E5%90%832%E8%99%9F%E5%BA%97
15,魚君 さかなくん 海鮮公有市場,4.2,臺北市中正區金山南路一段35號,https://ifoodie.tw/restaurant/5ac908f32756dd7b4f128e6e-%E9%AD%9A%E5%90%9B-%E3%81%95%E3%81%8B%E3%81%AA%E3%81%8F%E3%82%93-%E6%B5%B7%E9%AE%AE%E5%85%AC%E6%9C%89%E5%B8%82%E5%A0%B4
